x,y,theta
7.2185,-9.8304,2.2657
7.2012,-9.8107,2.3293
7.1836,-9.7925,2.3481
7.1661,-9.7747,2.3549
7.1475,-9.7562,2.3878
7.1191,-9.7395,2.4245
7.0995,-9.7230,2.4311
7.0799,-9.7062,2.4549
7.0597,-9.6826,2.4835
7.0399,-9.6673,2.4856
7.0095,-9.6420,2.5175
6.9884,-9.6268,2.5208
6.9681,-9.6125,2.5291
6.9458,-9.6003,2.5775
6.9245,-9.5870,2.5820
6.9031,-9.5737,2.5848
6.8799,-9.5603,2.6498
6.8572,-9.5490,2.6814
6.8256,-9.5382,2.6847
6.8025,-9.5271,2.6908
6.7802,-9.5164,2.6980
6.7569,-9.5109,2.7147
6.7329,-9.5007,2.7652
6.7089,-9.4911,2.7630
6.6873,-9.4765,2.7599
6.6639,-9.4671,2.7651
6.6412,-9.4581,2.7710
6.6184,-9.4496,2.7906
6.5951,-9.4412,2.7973
6.5701,-9.4323,2.8235
6.5453,-9.4244,2.8295
6.3482,-9.3720,2.9497
6.3062,-9.3797,2.9514
6.2680,-9.3727,2.9932
6.0197,-9.3920,-2.9676
6.0477,-9.3857,-2.9677
6.0175,-9.3899,-2.9903
5.9948,-9.3930,-3.0127
5.9683,-9.3925,-3.0078
5.9459,-9.3955,-3.0101
5.9240,-9.3984,-3.0135
5.8969,-9.3972,-3.0203
5.8730,-9.4001,-3.0230
5.8503,-9.4028,-3.0261
5.8205,-9.4071,-3.0262
5.7942,-9.4104,-3.0293
5.7678,-9.4142,-3.0306
5.7418,-9.4177,-3.0350
5.7170,-9.4202,-3.0379
5.6842,-9.4242,-3.0405
5.6609,-9.4268,-3.0441
5.6369,-9.4291,-3.0452
5.6114,-9.4430,-3.0395
5.5866,-9.4456,-3.0387
5.5617,-9.4442,-3.0289
5.5363,-9.4471,-3.0270
5.5108,-9.4501,-3.0313
5.4802,-9.4480,-3.0327
5.4550,-9.4508,-3.0327
5.4313,-9.4527,-3.0324
5.4064,-9.4554,-3.0331
5.3805,-9.4614,-3.0329
5.3522,-9.4670,-3.0047
5.3254,-9.4711,-2.9852
5.2979,-9.4784,-2.9876
5.2718,-9.4844,-2.9911
5.0524,-9.5151,-3.0071
5.0143,-9.5300,-2.9860
4.9892,-9.5364,-2.9816
4.9570,-9.5402,-2.9959
4.6824,-9.5768,-3.0263
4.6608,-9.5839,-3.0269
4.6419,-9.5929,-3.0258
4.6169,-9.5958,-3.0269
4.5916,-9.5988,-3.0286
4.5662,-9.6017,-3.0303
4.5440,-9.6043,-3.0324
4.5150,-9.6098,-3.0319
4.4926,-9.6123,-3.0334
4.4708,-9.6153,-3.0351
4.4410,-9.6189,-3.0353
4.4156,-9.6216,-3.0370
4.3931,-9.6259,-3.0419
4.3676,-9.6285,-3.0442
4.3451,-9.6307,-3.0433
4.3253,-9.6341,-3.0428
4.3002,-9.6366,-3.0424
4.2785,-9.6388,-3.0445
4.2552,-9.6424,-3.0379
4.2230,-9.6470,-2.9952
4.1958,-9.6520,-2.9336
4.1771,-9.6608,-2.8410
4.1546,-9.6691,-2.7628
4.1305,-9.6787,-2.7652
4.0940,-9.6899,-2.8011
4.0710,-9.6981,-2.7917
4.0477,-9.7066,-2.7849
4.0184,-9.7236,-2.7284
3.9948,-9.7350,-2.6507
3.9756,-9.7454,-2.6371
